num,url,orig_url,url_type,title,company,location,salary,description
1,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DeNGqqWfbmmqI83DP9AGQ29Xalauz0wH0YG_bfa4YtG8CzrekTcklpT1rzLM92vC88BMXZZLIZyjWc1vFKlS0uHt_fkIJ2hqka_-nZJtDMByUxI-mCv6WrhUYeQlIf8lPnOFSO-uVUpM_sYDQu2CLeuS9-wmTYJHnSNWu_sRBNFVpP_PFBRrjSmwmgmIAlfUxinpMUNf2Al_QJuzLTGZ9VC3uaNTGcMdlsPl0OplME5AYln4Pv9xyFIn1W5rIy_f8DpZaEClJBpqJDEdLM2Gd8NbTKLhEp-iZGH5J5tVgVITJcpLVG_5U9_yhT8RwwFO1JK3AaZRBh0p2kIwocbindoFbfSQki4yuXpgvo3zqGjjNOmc8zaiBxqvpeczKJHYcBkhIGAFgaFaPZnPJRICVJBPbF7BCq9O3A6YQgHkbdC4OClMoCgEd6NiCN_uwwmno=&p=0&fvj=1&vjs=3,No Url,Other,EEG Technologist,"
Archer Medical","Buffalo, NY 14221",,"[<li style=""margin-bottom:0px;"">\* Proficient in operating/troubleshooting multiple EEG instruments and software.</li>, <li>. EEG Technologists have the opportunity to perform every type of EEG test…</li>]"
2,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dpwng017giZKwiaXIZXKY8p5Lzpn0aY0NqQb71d3C_tEerV9ihACvcbnODmyjC6BfRQqqHEWxsfLs1ls3qRBCZ2dj8osRXkLLRYVppi7F00yFyinqdMr7M57zdpkr5ZhtRvt94b8_YZcPRxna_kogKieIpd1du5pw1-NPOoaIwxIghjWRRsmwrXXbhQmi_thCOfSsbv56XtYhXjOtfMqWNghZX82Jtj1khGjO95TPSQEUVI1jQ2iu0Uqz7h_8o51-9Im6I7zVVPpeK2rsrcaSaXom3EVNPnxAkva155p8QtYXrZ4xCr3m8YWjd379yQvgp8dzKkqmDta8WNrTZbUFj_3h-vofixKE-tEZCBd1IQU_8a0rlxMzuLF286PbA3AdeDAOxY9M5QYYy21mHBz8VMUArXcQuLj4YLs4jDs19-w==&p=1&fvj=0&vjs=3,https://www.indeed.com/rc/clk?jk=c6021c3bf2d92ef8&from=vj&pos=top&mvj=0&spon=1&adid=345154447&ad=-6NYlbfkN0Dpwng017giZKwiaXIZXKY8p5Lzpn0aY0NqQb71d3C_tEerV9ihACvcbnODmyjC6BfRQqqHEWxsfLs1ls3qRBCZ2dj8osRXkLLRYVppi7F000xQ4DWN_6afzRmxpj3oNEcVaPqA3ekTxGu49zoTX-SWBEuq9OCgWQHSNTcGnS1B5CUstymjMv5lFGvTV8Zj31Gh48Bh7swvelETXRjhiF8k9gJtwFL2u4P8x4-ZlzizFhgs6gcYhUgk3wBf7_3NwCmDGeTGF5foR2XtowjfJd3u1TyG7rGNleGrUroKdIy5Yg%3D%3D&sjdu=AMr2TY-d_OL1LbvQE8LYqYLPTKHmxWzqZR8qwt7Juac1ntwWo1__kVE_XpHOQI0tV7nji4Gk5p08MTVPtpnayA&astse=d6f29e4080a06b0f&assa=852&vjfrom=serp,Other,Junior Software Development Consultant - New York,"

FDM Group","New York, NY",,"[<li style=""margin-bottom:0px;"">FDM consultants are working on exciting advancements in technology, including robotics, automation and more.</li>, <li>Comprehensive benefits including; Medical, Dental &amp;…</li>]"
3,https://indeed.com/rc/clk?jk=6370258f3b14b374&fccid=1b50fcfb150b1b48&vjs=3,https://www.indeed.com/rc/clk?jk=6370258f3b14b374&from=vj&pos=top&mvj=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXh1yOZlz2EjZtlpp5GIupuaIv02HSGSZoWequxOEmCHqw&astse=8c85298cab87c86d&assa=2093&vjfrom=serp,Other,"R&D Engineering Intern at The New York Times, Spring 2021","

The New York Times","New York, NY",,"[<li style=""margin-bottom:0px;"">With these insights, we develop <b>new</b> technical capabilities that can be employed in the service of journalism.</li>, <li>Recent R&amp;D intern projects have included exploring…</li>]"
4,https://indeed.com/rc/clk?jk=d4dc70baa2b1f8ea&fccid=de71a49b535e21cb&vjs=3,https://www.indeed.com/rc/clk?jk=d4dc70baa2b1f8ea&from=vj&pos=top&mvj=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXijAcFqs1d6L_p7T43vqRit5Z_dA0xndw9ylAW4Hz2CAQ&astse=1afe22c10d5ae80d&assa=3601&vjfrom=serp,Other,Software Engineer Apprentice,"

IBM","Poughkeepsie, NY 12601",,"[<li>Whether you are working on projects internally or for a client, <b>software</b> development is critical to the success of IBM and our clients worldwide.</li>]"
5,https://indeed.com/rc/clk?jk=cf54f045d851df17&fccid=80202a0b367a757b&vjs=3,https://www.indeed.com/rc/clk?jk=cf54f045d851df17&from=vj&pos=top&mvj=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXi_rQ78-0OWD3Cbh8pOTsTCXEqzEHpaMck04qufWYB5sg&astse=e256b59128100a27&assa=4908&vjfrom=serp,Other,Software Engineer,"

Embark","New York, NY",,"[<li style=""margin-bottom:0px;"">Exceptional programming skills and an obsession with building quality software.</li>, <li>You'll be building features across our entire <b>software</b> stack, modeling and…</li>]"
6,https://indeed.com/rc/clk?jk=a2c692cac48fca00&fccid=b4460b1bac9048e7&vjs=3,https://www.indeed.com/rc/clk?jk=a2c692cac48fca00&from=vj&pos=top&mvj=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXgTUsH5U9lWErgoSrPoQM1uwsdLqiuaGy5Gw05HfKNzLw&astse=105728b1dc362698&assa=5827&vjfrom=serp,Other,New Business - 2021 Summer Internship,"

FCB Global","New York, NY",,"[<li style=""margin-bottom:0px;"">Maintain list of <b>new</b> business job numbers and budgets.</li>, <li>Assist with presentation support – PowerPoint and other <b>software</b> as necessary.</li>]"
7,https://indeed.com/rc/clk?jk=fa386a65e7be37ea&fccid=1b50fcfb150b1b48&vjs=3,https://www.indeed.com/rc/clk?jk=fa386a65e7be37ea&from=vj&pos=top&mvj=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXhDVeoH_uuO9e8fEE_kqo1D5Z_dA0xndw9ylAW4Hz2CAQ&astse=cf5dbc4d1c1f4ab8&assa=6820&vjfrom=serp,Other,"R&D Intern at The New York Times, Summer 2021","

The New York Times","New York, NY",,"[<li style=""margin-bottom:0px;"">With these insights, we develop <b>new</b> technical capabilities that can be employed in the service of journalism.</li>, <li>Recent R&amp;D intern projects have included exploring…</li>]"
8,https://indeed.com/rc/clk?jk=afc4be4c86022383&fccid=044076f542c2a482&vjs=3,https://www.indeed.com/rc/clk?jk=afc4be4c86022383&from=vj&pos=top&mvj=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXgg_GeRI5b875WipU8x9sWUULY8luZ3vf8Ryj3D5QnPXg&astse=f9338c8ec2cd9bc8&assa=7517&vjfrom=serp,Other,Software Engineer - Cloud Services Backend,"
HashiCorp",New York State,,"[<li style=""margin-bottom:0px;"">You have 3+ years of professional <b>software</b> development experience.</li>, <li>You have prior experience working in high performance or distributed systems; while we strive…</li>]"
9,https://indeed.com/rc/clk?jk=07d058e475b8ef58&fccid=4d4d72a724e8f720&vjs=3,https://www.indeed.com/rc/clk?jk=07d058e475b8ef58&from=vj&pos=top&mvj=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXhOVpfraBQkwL7tpxiE3wsKl8EZNoFLzyHkpvcd7-Y9bg&astse=5fa53ddc00258f69&assa=8466&vjfrom=serp,Other,Software Developer,"
Orphan Drug Solutions","Farmingdale, NY 11735",,"[<li>We began our involvement in this niche for web based data tools over 12 years ago, (our <b>software</b> development experience goes back over 20 years), when it was in…</li>]"
10,https://indeed.com/rc/clk?jk=112592f3bb5728fc&fccid=47bb923403b99057&vjs=3,https://www.indeed.com/rc/clk?jk=112592f3bb5728fc&from=vj&pos=top&mvj=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXgzeqzdBL1rKAiBOJ7rjl4akiS-2XS_43VyhyRGICpJaw&astse=ed3894a07e5ee2a2&assa=9703&vjfrom=serp,Other,Software Engineer,"
Careers at CMDTY",New York State,,"[<li>We have tech experts who have built systems that handle millions of transactions per second, commodity experts with 60 years of combined experience in the…</li>]"
